@RELATION modelSVM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {horn,motorbike,traffic,silent}

@DATA
0.073833,0.010800,2.937075,0.163958,0.204754,0.429029,0.013482,0.084162,-30.557001,-1.670038,-1.841046,0.731675,0.941433,1.047287,0.436447,0.089696,-0.076667,0.241904,0.668639,0.936750,0.554832,0.006293,0.000957,0.015805,0.000913,0.005549,0.033489,0.000403,0.003064,0.010812,0.002220,0.106813,0.001482,0.031477,0.024058,0.004157,0.164008,0.023384,0.019037,0.157778,0.007785,0.033614,0.398067,0.306700,0.327120,0.312923,0.293966,0.298519,0.293429,0.280203,0.287026,0.284285,0.279936,0.282414,0.283586,0.005009,0.000850,0.010399,0.000809,0.004793,0.019147,0.000358,0.002675,0.008207,0.002177,0.036714,0.001276,0.007966,horn
0.073833,0.010800,2.937075,0.163958,0.204754,0.429029,0.013482,0.084162,-30.557001,-1.670038,-1.841046,0.731675,0.941433,1.047287,0.436447,0.089696,-0.076667,0.241904,0.668639,0.936750,0.554832,0.006293,0.000957,0.015805,0.000913,0.005549,0.033489,0.000403,0.003064,0.010812,0.002220,0.106813,0.001482,0.031477,0.024058,0.004157,0.164008,0.023384,0.019037,0.157778,0.007785,0.033614,0.398067,0.306700,0.327120,0.312923,0.293966,0.298519,0.293429,0.280203,0.287026,0.284285,0.279936,0.282414,0.283586,0.005009,0.000850,0.010399,0.000809,0.004793,0.019147,0.000358,0.002675,0.008207,0.002177,0.036714,0.001276,0.007966,horn
0.071110,0.015601,2.993365,0.155977,0.193113,0.590493,0.011164,0.096619,-29.335047,-2.098097,-1.689853,0.572208,1.119070,0.999232,0.535697,-0.050313,0.136173,0.316992,0.749768,0.906122,0.533851,0.010658,0.003014,0.019351,0.000720,0.004536,0.024569,0.000520,0.003581,0.008561,0.003243,0.102461,0.003318,0.029992,0.019139,0.005150,0.139032,0.021115,0.020932,0.150247,0.006080,0.026623,0.341962,0.285414,0.320540,0.302041,0.295633,0.290949,0.295108,0.279903,0.288201,0.281922,0.268034,0.277506,0.278333,0.006861,0.002258,0.011955,0.000587,0.003685,0.014759,0.000444,0.002770,0.006175,0.002588,0.034510,0.002602,0.007763,horn
0.071110,0.015601,2.993365,0.155977,0.193113,0.590493,0.011164,0.096619,-29.335047,-2.098097,-1.689853,0.572208,1.119070,0.999232,0.535697,-0.050313,0.136173,0.316992,0.749768,0.906122,0.533851,0.010658,0.003014,0.019351,0.000720,0.004536,0.024569,0.000520,0.003581,0.008561,0.003243,0.102461,0.003318,0.029992,0.019139,0.005150,0.139032,0.021115,0.020932,0.150247,0.006080,0.026623,0.341962,0.285414,0.320540,0.302041,0.295633,0.290949,0.295108,0.279903,0.288201,0.281922,0.268034,0.277506,0.278333,0.006861,0.002258,0.011955,0.000587,0.003685,0.014759,0.000444,0.002770,0.006175,0.002588,0.034510,0.002602,0.007763,horn
0.070968,0.003594,3.006910,0.161880,0.200288,0.464668,0.010972,0.094340,-31.974465,-1.603215,-1.988164,0.450352,0.558060,1.006421,0.297805,-0.085435,-0.152741,0.135359,0.597855,0.839939,0.459232,0.009399,0.002030,0.022085,0.000872,0.004069,0.041697,0.001243,0.004528,0.017966,0.002618,0.068886,0.002739,0.026051,0.022616,0.002074,0.138728,0.024959,0.020532,0.184268,0.005731,0.039825,0.479600,0.346825,0.359961,0.318741,0.311991,0.307342,0.301516,0.285236,0.291849,0.283489,0.270488,0.278473,0.284605,0.007333,0.001997,0.013622,0.000868,0.003511,0.021950,0.000919,0.003738,0.012707,0.002375,0.027553,0.002543,0.005725,horn
0.070968,0.003594,3.006910,0.161880,0.200288,0.464668,0.010972,0.094340,-31.974465,-1.603215,-1.988164,0.450352,0.558060,1.006421,0.297805,-0.085435,-0.152741,0.135359,0.597855,0.839939,0.459232,0.009399,0.002030,0.022085,0.000872,0.004069,0.041697,0.001243,0.004528,0.017966,0.002618,0.068886,0.002739,0.026051,0.022616,0.002074,0.138728,0.024959,0.020532,0.184268,0.005731,0.039825,0.479600,0.346825,0.359961,0.318741,0.311991,0.307342,0.301516,0.285236,0.291849,0.283489,0.270488,0.278473,0.284605,0.007333,0.001997,0.013622,0.000868,0.003511,0.021950,0.000919,0.003738,0.012707,0.002375,0.027553,0.002543,0.005725,horn
0.065993,0.005553,2.936112,0.158125,0.201720,0.425281,0.016996,0.080775,-31.225639,-1.872363,-1.627762,0.886505,0.801084,1.064362,0.314668,0.152936,0.073641,0.199678,0.596899,0.900767,0.528245,0.007220,0.002520,0.016106,0.000928,0.005930,0.026622,0.001327,0.002398,0.008443,0.002619,0.115755,0.001982,0.033912,0.021772,0.001794,0.165837,0.022700,0.020095,0.152936,0.011977,0.035418,0.428436,0.309995,0.327304,0.304758,0.289803,0.294599,0.284312,0.276736,0.281272,0.273795,0.265266,0.266276,0.266630,0.004643,0.002145,0.009185,0.000876,0.004605,0.017113,0.000880,0.002135,0.005516,0.001885,0.035396,0.001754,0.008033,horn
0.065993,0.005553,2.936112,0.158125,0.201720,0.425281,0.016996,0.080775,-31.225639,-1.872363,-1.627762,0.886505,0.801084,1.064362,0.314668,0.152936,0.073641,0.199678,0.596899,0.900767,0.528245,0.007220,0.002520,0.016106,0.000928,0.005930,0.026622,0.001327,0.002398,0.008443,0.002619,0.115755,0.001982,0.033912,0.021772,0.001794,0.165837,0.022700,0.020095,0.152936,0.011977,0.035418,0.428436,0.309995,0.327304,0.304758,0.289803,0.294599,0.284312,0.276736,0.281272,0.273795,0.265266,0.266276,0.266630,0.004643,0.002145,0.009185,0.000876,0.004605,0.017113,0.000880,0.002135,0.005516,0.001885,0.035396,0.001754,0.008033,horn
0.024902,0.057323,2.995322,0.094973,0.158857,0.101015,0.017163,0.039392,-29.186122,-1.773812,-2.298036,0.438395,0.874362,0.875957,0.241024,-0.306573,-0.261670,0.309409,1.029289,1.097516,0.504308,0.003047,0.000502,0.012120,0.000500,0.009590,0.011090,0.000203,0.001750,0.013259,0.000949,0.133717,0.001046,0.036771,0.010070,0.029952,0.172430,0.033666,0.048070,0.066720,0.013406,0.014136,1.018055,0.371911,0.371856,0.317510,0.318685,0.296298,0.283488,0.277178,0.266168,0.237358,0.258451,0.269029,0.226888,0.002361,0.000545,0.008688,0.000568,0.008489,0.007762,0.000216,0.001820,0.009278,0.000947,0.027538,0.001058,0.007058,horn
0.024902,0.057323,2.995322,0.094973,0.158857,0.101015,0.017163,0.039392,-29.186122,-1.773812,-2.298036,0.438395,0.874362,0.875957,0.241024,-0.306573,-0.261670,0.309409,1.029289,1.097516,0.504308,0.003047,0.000502,0.012120,0.000500,0.009590,0.011090,0.000203,0.001750,0.013259,0.000949,0.133717,0.001046,0.036771,0.010070,0.029952,0.172430,0.033666,0.048070,0.066720,0.013406,0.014136,1.018055,0.371911,0.371856,0.317510,0.318685,0.296298,0.283488,0.277178,0.266168,0.237358,0.258451,0.269029,0.226888,0.002361,0.000545,0.008688,0.000568,0.008489,0.007762,0.000216,0.001820,0.009278,0.000947,0.027538,0.001058,0.007058,horn
